kirmizi red
balik fish
elma apple
silgi eraser
kosmak run
kutuphane library
belge document
telefon phone
bilgisayar computer
bitki plant
papagan parrot
ezmek crush
sincap squirrel 
gozluk glasses
tepsi tray
cember circle
dikdortgen rectangular
doktor doctor
karpuz watermelon
yuzuk ring
savunma defence
sag right
sol left
zor hard
bulut cloud
beyin brain
kule tower
para money
su water
kalem pencil
kagýt paper
buz ice
ayý bear
kedi cat
kopek dog
ev house
ask love
gun day
ay month
at horse
gece night
yarim half
saat clock
deve camel
bilgi information
vermek give
almak take
vurmak hit
otobus bus
muzik music
yetenek talent
zor hard
kolay easy
normal normal
bilim science
avci hunter
ucak plane
kulak ear
tekme kick
muz banana
gitar guitar
hesap account
hesaplamak calculate
makine machine
efendi lord
zafer victory
mavi blue
zaman time
tir truck
genis wide
ekran screen
cikis exit
guc power
uzun tall
top ball
aramak search
tepe hill
eski old
serbest free
aramak call
ahsap wood
domuz pig
bomba grenade
zirh armor
sayi number
mahkeme court
hukuk law
kural rule
farkli different
duvar wall
programlama programming
metin text
dunya world
uzay space
dahil include
silah weapon
yesil green
deniz sea
ada island
deli crazy
